"","CODE_TYPE","CODE_TYPE_CDM","CODE","CODE_LABEL","CODEGRP","CODEGRP_LABEL"
"24","RXNORM","RX","1665188","1 ML lorazepam 2 MG/ML Injection","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"25","RXNORM","RX","1665326","1 ML lorazepam 4 MG/ML Injection","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"26","RXNORM","RX","1666777","2 ML midazolam 1 MG/ML Cartridge","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"27","RXNORM","RX","1666798","2 ML midazolam 1 MG/ML Injection","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"28","RXNORM","RX","1666800","5 ML midazolam 1 MG/ML Injection","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"29","RXNORM","RX","1666814","1 ML midazolam 5 MG/ML Injection","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"30","RXNORM","RX","1666821","1 ML midazolam 5 MG/ML Cartridge","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"31","RXNORM","RX","1666823","2 ML midazolam 5 MG/ML Injection","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"32","RXNORM","RX","1807452","2 ML diazepam 5 MG/ML Auto-Injector","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"33","RXNORM","RX","1807459","2 ML diazepam 5 MG/ML Cartridge","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"34","RXNORM","RX","197321","alprazolam 1 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"35","RXNORM","RX","197322","alprazolam 2 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"36","RXNORM","RX","197464","clorazepate dipotassium 15 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"37","RXNORM","RX","197465","clorazepate dipotassium 3.75 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"38","RXNORM","RX","197466","clorazepate dipotassium 7.5 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"39","RXNORM","RX","197527","clonazepam 0.5 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"40","RXNORM","RX","197528","clonazepam 1 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"41","RXNORM","RX","197529","clonazepam 2 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"42","RXNORM","RX","197589","diazepam 10 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"43","RXNORM","RX","197590","diazepam 2 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"44","RXNORM","RX","197591","diazepam 5 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"45","RXNORM","RX","197653","estazolam 1 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"46","RXNORM","RX","197654","estazolam 2 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"47","RXNORM","RX","197900","lorazepam 0.5 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"48","RXNORM","RX","197901","lorazepam 1 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"49","RXNORM","RX","197902","lorazepam 2 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"50","RXNORM","RX","198057","oxazepam 10 MG Oral Capsule","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"51","RXNORM","RX","198059","oxazepam 30 MG Oral Capsule","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"52","RXNORM","RX","198183","quazepam 15 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"53","RXNORM","RX","198241","temazepam 15 MG Oral Capsule","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"54","RXNORM","RX","198242","temazepam 30 MG Oral Capsule","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"55","RXNORM","RX","198243","temazepam 7.5 MG Oral Capsule","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"56","RXNORM","RX","198317","triazolam 0.125 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"57","RXNORM","RX","198318","triazolam 0.25 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"58","RXNORM","RX","2120550","2 ML diazepam 5 MG/ML Prefilled Syringe","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"59","RXNORM","RX","238100","lorazepam 2 MG/ML Injectable Solution","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"60","RXNORM","RX","238101","lorazepam 4 MG/ML Injectable Solution","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"61","RXNORM","RX","2541170","50 ML midazolam 1 MG/ML Injection","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"62","RXNORM","RX","2541171","100 ML midazolam 1 MG/ML Injection","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"63","RXNORM","RX","2569564","24 HR lorazepam 1 MG Extended Release Oral Capsule","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"64","RXNORM","RX","2569573","24 HR lorazepam 2 MG Extended Release Oral Capsule","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"65","RXNORM","RX","2569577","24 HR lorazepam 3 MG Extended Release Oral Capsule","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"66","RXNORM","RX","2594600","24 HR lorazepam 1.5 MG Extended Release Oral Capsule","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"67","RXNORM","RX","2608698","0.7 ML midazolam 14.3 MG/ML Auto-Injector","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"68","RXNORM","RX","308047","alprazolam 0.25 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"69","RXNORM","RX","308048","alprazolam 0.5 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"70","RXNORM","RX","308050","alprazolam 1 MG/ML Oral Solution","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"71","RXNORM","RX","309843","diazepam 1 MG/ML Oral Solution","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"72","RXNORM","RX","309844","diazepam 5 MG/ML Oral Solution","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"73","RXNORM","RX","309845","diazepam 5 MG/ML Injectable Solution","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"74","RXNORM","RX","311376","lorazepam 2 MG/ML Oral Solution","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"75","RXNORM","RX","311700","midazolam 1 MG/ML Injectable Solution","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"76","RXNORM","RX","311702","midazolam 5 MG/ML Injectable Solution","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"77","RXNORM","RX","312134","oxazepam 15 MG Oral Capsule","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"78","RXNORM","RX","349194","clonazepam 0.125 MG Disintegrating Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"79","RXNORM","RX","349195","clonazepam 0.25 MG Disintegrating Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"80","RXNORM","RX","349196","clonazepam 1 MG Disintegrating Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"81","RXNORM","RX","349197","clonazepam 2 MG Disintegrating Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"82","RXNORM","RX","349198","clonazepam 0.5 MG Disintegrating Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"83","RXNORM","RX","422410","midazolam 2 MG/ML Oral Solution","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"84","RXNORM","RX","433798","24 HR alprazolam 0.5 MG Extended Release Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"85","RXNORM","RX","433799","24 HR alprazolam 2 MG Extended Release Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"86","RXNORM","RX","433800","24 HR alprazolam 1 MG Extended Release Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"87","RXNORM","RX","433801","24 HR alprazolam 3 MG Extended Release Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"88","RXNORM","RX","485413","alprazolam 0.25 MG Disintegrating Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"89","RXNORM","RX","485414","alprazolam 1 MG Disintegrating Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"90","RXNORM","RX","485415","alprazolam 0.5 MG Disintegrating Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"91","RXNORM","RX","485416","alprazolam 2 MG Disintegrating Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"92","RXNORM","RX","485489","temazepam 22.5 MG Oral Capsule","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"93","RXNORM","RX","763028","1 ML lorazepam 2 MG/ML Cartridge","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"94","RXNORM","RX","763029","1 ML lorazepam 4 MG/ML Cartridge","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"95","RXNORM","RX","801957","0.5 ML diazepam 5 MG/ML Rectal Gel","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"96","RXNORM","RX","801961","2 ML diazepam 5 MG/ML Rectal Gel","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"97","RXNORM","RX","801966","4 ML diazepam 5 MG/ML Rectal Gel","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"98","RXNORM","RX","856769","amitriptyline hydrochloride 12.5 MG / chlordiazepoxide 5 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"99","RXNORM","RX","856792","amitriptyline hydrochloride 25 MG / chlordiazepoxide 10 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"100","RXNORM","RX","889614","chlordiazepoxide hydrochloride 5 MG / clidinium bromide 2.5 MG Oral Capsule","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"101","RXNORM","RX","905369","chlordiazepoxide hydrochloride 10 MG Oral Capsule","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"102","RXNORM","RX","905495","chlordiazepoxide hydrochloride 25 MG Oral Capsule","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"103","RXNORM","RX","905516","chlordiazepoxide hydrochloride 5 MG Oral Capsule","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"104","RXNORM","RX","998211","2 ML midazolam 1 MG/ML Prefilled Syringe","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"105","RXNORM","RX","1006801","clozapine 150 MG Disintegrating Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"106","RXNORM","RX","1040031","lurasidone hydrochloride 40 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"107","RXNORM","RX","1040041","lurasidone hydrochloride 80 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"108","RXNORM","RX","1235247","lurasidone hydrochloride 20 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"109","RXNORM","RX","1297278","lurasidone hydrochloride 120 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"110","RXNORM","RX","1298816","molindone hydrochloride 10 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"111","RXNORM","RX","1298906","molindone hydrochloride 25 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"112","RXNORM","RX","1298910","molindone hydrochloride 5 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"113","RXNORM","RX","1367518","1 ACTUAT loxapine 10 MG/ACTUAT Dry Powder Inhaler","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"114","RXNORM","RX","1369825","clozapine 50 MG/ML Oral Suspension","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"115","RXNORM","RX","141935","haloperidol 2 MG/ML Oral Solution","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"116","RXNORM","RX","1431235","lurasidone hydrochloride 60 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"117","RXNORM","RX","1602163","1.5 ML aripiprazole 200 MG/ML Prefilled Syringe","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"118","RXNORM","RX","1602171","2 ML aripiprazole 200 MG/ML Prefilled Syringe","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"119","RXNORM","RX","1606337","asenapine 2.5 MG Sublingual Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"120","RXNORM","RX","1648646","{1 (24 HR quetiapine 200 MG Extended Release Oral Tablet) / 11 (24 HR quetiapine 300 MG Extended Release Oral Tablet) / 3 (24 HR quetiapine 50 MG Extended Release Oral Tablet) } Pack","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"121","RXNORM","RX","1650966","0.88 ML paliperidone palmitate 310 MG/ML Prefilled Syringe","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"122","RXNORM","RX","1650971","1.32 ML paliperidone palmitate 311 MG/ML Prefilled Syringe","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"123","RXNORM","RX","1650973","1.75 ML paliperidone palmitate 312 MG/ML Prefilled Syringe","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"124","RXNORM","RX","1650975","2.63 ML paliperidone palmitate 311 MG/ML Prefilled Syringe","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"125","RXNORM","RX","1658319","brexpiprazole 0.25 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"126","RXNORM","RX","1658327","brexpiprazole 0.5 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"127","RXNORM","RX","1658331","brexpiprazole 1 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"128","RXNORM","RX","1658335","brexpiprazole 2 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"129","RXNORM","RX","1658339","brexpiprazole 3 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"130","RXNORM","RX","1658343","brexpiprazole 4 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"131","RXNORM","RX","1659812","aripiprazole 400 MG Injection","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"132","RXNORM","RX","1659816","aripiprazole 300 MG Injection","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"133","RXNORM","RX","1667660","cariprazine 1.5 MG Oral Capsule","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"134","RXNORM","RX","1667668","cariprazine 3 MG Oral Capsule","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"135","RXNORM","RX","1667672","cariprazine 4.5 MG Oral Capsule","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"136","RXNORM","RX","1667676","cariprazine 6 MG Oral Capsule","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"137","RXNORM","RX","1673269","1.6 ML aripiprazole lauroxil 276 MG/ML Prefilled Syringe","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"138","RXNORM","RX","1673277","2.4 ML aripiprazole lauroxil 276 MG/ML Prefilled Syringe","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"139","RXNORM","RX","1673279","3.2 ML aripiprazole lauroxil 276 MG/ML Prefilled Syringe","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"140","RXNORM","RX","1718925","olanzapine 405 MG Injection","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"141","RXNORM","RX","1718930","olanzapine 300 MG Injection","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"142","RXNORM","RX","1718934","olanzapine 210 MG Injection","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"143","RXNORM","RX","1719646","1 ML haloperidol 5 MG/ML Injection","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"144","RXNORM","RX","1719803","1 ML haloperidol decanoate 100 MG/ML Injection","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"145","RXNORM","RX","1719862","1 ML haloperidol decanoate 50 MG/ML Injection","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"146","RXNORM","RX","1730076","1 ML chlorpromazine hydrochloride 25 MG/ML Injection","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"147","RXNORM","RX","1730078","2 ML chlorpromazine hydrochloride 25 MG/ML Injection","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"148","RXNORM","RX","1741746","{1 (cariprazine 1.5 MG Oral Capsule) / 6 (cariprazine 3 MG Oral Capsule) } Pack","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"149","RXNORM","RX","1876502","1 ML haloperidol 5 MG/ML Prefilled Syringe","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"150","RXNORM","RX","1925262","3.9 ML aripiprazole lauroxil 273 MG/ML Prefilled Syringe","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"151","RXNORM","RX","197535","clozapine 100 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"152","RXNORM","RX","197536","clozapine 25 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"153","RXNORM","RX","197754","haloperidol 20 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"154","RXNORM","RX","198075","perphenazine 16 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"155","RXNORM","RX","198076","perphenazine 2 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"156","RXNORM","RX","198077","perphenazine 4 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"157","RXNORM","RX","198078","perphenazine 8 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"158","RXNORM","RX","198103","pimozide 2 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"159","RXNORM","RX","198270","thioridazine 100 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"160","RXNORM","RX","198274","thioridazine 25 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"161","RXNORM","RX","198275","thioridazine 50 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"162","RXNORM","RX","198322","trifluoperazine 1 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"163","RXNORM","RX","198323","trifluoperazine 10 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"164","RXNORM","RX","198324","trifluoperazine 2 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"165","RXNORM","RX","198325","trifluoperazine 5 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"166","RXNORM","RX","199387","risperidone 1 MG/ML Oral Solution","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"167","RXNORM","RX","1998451","Sensor aripiprazole 10 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"168","RXNORM","RX","1998454","Sensor aripiprazole 15 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"169","RXNORM","RX","1998456","Sensor aripiprazole 2 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"170","RXNORM","RX","1998458","Sensor aripiprazole 20 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"171","RXNORM","RX","1998460","Sensor aripiprazole 30 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"172","RXNORM","RX","1998462","Sensor aripiprazole 5 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"173","RXNORM","RX","200034","olanzapine 2.5 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"174","RXNORM","RX","204416","haloperidol 5 MG/ML Injectable Solution","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"175","RXNORM","RX","2049269","pimavanserin 10 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"176","RXNORM","RX","2049275","pimavanserin 34 MG Oral Capsule","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"177","RXNORM","RX","2049341","2.4 ML aripiprazole lauroxil 281.3 MG/ML Prefilled Syringe","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"178","RXNORM","RX","2055667","0.8 ML risperidone 150 MG/ML Prefilled Syringe","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"179","RXNORM","RX","2055675","0.6 ML risperidone 150 MG/ML Prefilled Syringe","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"180","RXNORM","RX","2570392","olanzapine 5 MG / samidorphan 10 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"181","RXNORM","RX","2570399","olanzapine 10 MG / samidorphan 10 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"182","RXNORM","RX","2570402","olanzapine 15 MG / samidorphan 10 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"183","RXNORM","RX","2570405","olanzapine 20 MG / samidorphan 10 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"184","RXNORM","RX","2570418","3.5 ML paliperidone palmitate 312 MG/ML Prefilled Syringe","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"185","RXNORM","RX","2570420","5 ML paliperidone palmitate 312 MG/ML Prefilled Syringe","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
"186","RXNORM","RX","283639","olanzapine 20 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1523","Antipsychotic"
